threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
1.842,SE2,0.18836192398250926,0.7589285714285714,18.845716350453575,3.0939226519337018
1.962,neg_control,0.11693438606044106,0.8509895227008148,13.784075458200293,2.8210180623973726
1.962,S-UNT,0.37812578033032496,0.7375943396226415,144.5626766116002,21.435793731041457
1.962,SLN1,0.30935569285083847,0.7278887303851641,65.23937808254456,9.943262411347519
1.962,SLHi,0.35491843796342065,0.7404828226555246,95.65336039412495,15.222614840989399
1.962,SE1,0.2453537404341715,0.7536600891152132,39.545648433813234,6.234126984126984
1.962,SE2,0.17759838546922302,0.7651515151515151,19.592798818551383,3.087719298245614
2.082,neg_control,0.10869861148924585,0.8591108328115216,13.791233595897932,2.7021996615905244
2.082,S-UNT,0.3656048228873114,0.7380720070250756,143.27259641039578,20.746963562753038
2.082,SLN1,0.2988746690203001,0.7286821705426356,64.55857008252505,9.606382978723405
2.082,SLHi,0.34223101005107925,0.7397688974482427,95.22681831117043,14.782918149466193
2.082,SE1,0.23645166328283618,0.7549537648612946,39.71812555396447,6.104838709677419
2.082,SE2,0.16851664984863773,0.7684630738522954,19.85325808026277,3.0180722891566263
2.202,neg_control,0.10053090117070515,0.8679756262694651,13.798941498339907,2.582167832167832
2.202,S-UNT,0.3531017015660115,0.7382431681567915,141.75280342262533,20.03744939271255
2.202,SLN1,0.2883936451897617,0.7287681713848508,63.83619103227249,9.26950354609929
2.202,SLHi,0.32937881034766847,0.7396198099049525,94.03894433968738,14.227758007117437
2.202,SE1,0.228486646884273,0.7566643882433356,39.2786677632045,5.899193548387097
2.202,SE2,0.16044399596367306,0.7651991614255765,20.02526692082901,2.9444444444444446
2.322,neg_control,0.09386060441056357,0.8759970993473531,13.897576765763786,2.4981884057971016
2.322,S-UNT,0.341276352869832,0.7364900177694157,140.2354394880911,19.366396761133604
2.322,SLN1,0.2774713150926743,0.726441351888668,63.26520105960957,8.95017793594306
2.322,SLHi,0.3170209260174658,0.7406444906444907,93.49920857628967,13.792114695340501
2.322,SE1,0.2180228018116508,0.7628939828080229,39.79039961572947,5.79253112033195
2.322,SE2,0.15472586612848974,0.7695652173913043,20.161520651487933,2.893081761006289
2.443,neg_control,0.08753062891369452,0.8872472783825817,13.976084157196201,2.4127579737335836
2.443,S-UNT,0.3307530410587522,0.7349007765314927,138.95323248855698,18.78824721377913
2.443,SLN1,0.2662180052956752,0.726067136344799,62.62432136457025,8.617857142857142
2.443,SLHi,0.30515735706047126,0.7381209503239741,92.269740317293,13.275985663082437
2.443,SE1,0.21005778541308762,0.7650557620817844,39.45123128319158,5.604166666666667
2.443,SE2,0.14766229397914565,0.7744874715261959,19.973499560741903,2.778481012658228
2.563,neg_control,0.08194936019602504,0.8953488372093024,13.958221015735049,2.3198458574181116
2.563,S-UNT,0.3209610102379339,0.7338149485968325,137.56198429130762,18.232016210739616
2.563,SLN1,0.2583848190644307,0.7245943637916311,61.989901156953835,8.364285714285714
2.563,SLHi,0.294529576536497,0.7356643356643356,91.11191640535402,12.813620071684587
2.563,SE1,0.19943776354833673,0.7611589663273297,38.9041005476183,5.343096234309623
2.563,SE2,0.14261688530104272,0.7783018867924528,20.116577505580683,2.735483870967742
2.683,neg_control,0.07623196297304656,0.9,14.019906923305257,2.2355289421157685
2.683,S-UNT,0.31111547105197446,0.73261480249957,136.23295178030014,17.690669371196755
2.683,SLN1,0.25033097969991175,0.7245482591449978,61.97140834478185,8.191335740072201
