threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
8.03,SE1,0.7991194276279582,0.7617079889807162,19.94426367580169,5.520912547528517
8.03,SE2,0.7951612903225806,0.7545638945233266,9.339633746914231,2.6363636363636362
10.04,neg_control,0.9367996414164051,0.8114832535885167,10.103772243446839,3.060029282576867
10.04,S-UNT,0.8358781845790451,0.7569258717262956,84.81798043743821,20.057692307692307
10.04,SLN1,0.8496690828868578,0.7481454005934718,39.19802659426732,9.459649122807017
10.04,SLHi,0.8591086465393305,0.7525699258905092,61.271734865378775,14.677192982456141
10.04,SE1,0.8613098514034122,0.759744408945687,23.769277614400984,5.9505703422053235
10.04,SE2,0.85,0.7533206831119544,10.902592119471848,2.8031914893617023
12.05,neg_control,0.9605558045719408,0.8138124125058329,10.886221242174136,3.114825581395349
12.05,S-UNT,0.8807153703391261,0.7519157088122606,96.52205942500764,21.112234580384225
12.05,SLN1,0.8941065237945163,0.7430384208671131,44.60912231336578,9.95438596491228
12.05,SLHi,0.9061408913534607,0.7495466908431551,70.0889453614045,15.480701754385965
12.05,SE1,0.9075399009356081,0.758641600970285,27.19262811598013,6.246212121212121
12.05,SE2,0.8806451612903226,0.7490842490842491,11.942167150766492,2.888888888888889
14.06,neg_control,0.9695203944419543,0.8155339805825242,11.231347775048114,3.134782608695652
14.06,S-UNT,0.914543613969968,0.7501614242228577,107.078168094916,21.923154701718907
14.06,SLN1,0.9249921210211156,0.7400340715502556,49.09690585645025,10.298245614035087
14.06,SLHi,0.935510371739577,0.7477497255762898,76.62785846194042,15.982456140350877
14.06,SE1,0.9284534947716016,0.7563722584469472,29.0475569576206,6.390151515151516
14.06,SE2,0.9225806451612903,0.75,13.732770451979963,3.0264550264550265
16.07,neg_control,0.9780367548184671,0.8162236480293309,11.647550298393345,3.1623188405797102
16.07,S-UNT,0.9353382824363085,0.7473731679819616,114.57647302476823,22.421638018200202
16.07,SLN1,0.9454774661203909,0.7386666666666667,52.508258827858526,10.526315789473685
16.07,SLHi,0.9527623742041487,0.7462815261909894,81.06689369146359,16.27719298245614
16.07,SE1,0.9433131535498074,0.7543757292882147,30.469485723753785,6.467924528301887
16.07,SE2,0.9451612903225807,0.7457337883959044,14.855978622091286,3.1005291005291005
18.08,neg_control,0.982070820259973,0.8169785486079416,11.865856383604548,3.1753623188405795
18.08,S-UNT,0.9529694617850515,0.7451423007126101,121.7646033805374,22.84428715874621
