polymer_idx,grid_row,grid_col,jpg_filename,source_stem,eval_h,eval_w,eval_diag_px,manual_len_px,was_clipped,start_xy_raw,end_xy_raw,start_xy_clipped,end_xy_clipped
149,7,5,J20_03_1_4_Bright Field_002__y787_x1049_h67_w67.jpg,J20_03_1_4_Bright Field_002,67,67,94.75230867899737,16.278820596099706,False,"[1400.5, 1913.5]","[1412.5, 1924.5]","[1400.5, 1913.5]","[1412.5, 1924.5]"
150,7,4,J20_03_1_4_Bright Field_001__y629_x915_h118_w118.jpg,J20_03_1_4_Bright Field_001,118,118,166.87720036002523,71.11961754677819,False,"[1171.5, 1952.5]","[1138.5, 1889.5]","[1171.5, 1952.5]","[1138.5, 1889.5]"
151,7,4,J20_03_1_4_Bright Field_001__y629_x915_h118_w118.jpg,J20_03_1_4_Bright Field_001,118,118,166.87720036002523,59.53990258641679,False,"[1175.5, 1968.5]","[1116.5, 1960.5]","[1175.5, 1968.5]","[1116.5, 1960.5]"
152,9,4,K20_03_1_5_Bright Field_002__y657_x919_h111_w111.jpg,K20_03_1_5_Bright Field_002,111,111,156.97770542341354,50.00999900019995,False,"[1164.5, 2410.5]","[1154.5, 2459.5]","[1164.5, 2410.5]","[1154.5, 2459.5]"
153,9,4,K20_03_1_5_Bright Field_002__y657_x919_h111_w111.jpg,K20_03_1_5_Bright Field_002,111,111,156.97770542341354,66.48308055437865,False,"[1159.5, 2408.5]","[1135.5, 2470.5]","[1159.5, 2408.5]","[1135.5, 2470.5]"
154,8,4,K20_03_1_10_Bright Field_002__y1000_x1304_h64_w64.jpg,K20_03_1_10_Bright Field_002,64,64,90.50966799187809,27.024803422041796,True,"[1146.5, 2194.5]","[1116.5, 2188.5]","[1146.5, 2194.5]","[1120.0, 2189.2]"
155,8,4,K20_03_1_10_Bright Field_002__y1000_x1304_h64_w64.jpg,K20_03_1_10_Bright Field_002,64,64,90.50966799187809,27.730849247724095,False,"[1156.5, 2186.5]","[1144.5, 2161.5]","[1156.5, 2186.5]","[1144.5, 2161.5]"
156,9,3,K20_03_1_5_Bright Field_001__y1840_x1056_h64_w64.jpg,K20_03_1_5_Bright Field_001,64,64,90.50966799187809,18.788294228055936,False,"[895.5, 2445.5]","[878.5, 2437.5]","[895.5, 2445.5]","[878.5, 2437.5]"
157,9,3,K20_03_1_5_Bright Field_001__y1840_x1056_h64_w64.jpg,K20_03_1_5_Bright Field_001,64,64,90.50966799187809,15.620499351813308,False,"[905.5, 2440.5]","[893.5, 2430.5]","[905.5, 2440.5]","[893.5, 2430.5]"
158,9,2,K20_03_1_4_Bright Field_002__y621_x1180_h101_w101.jpg,K20_03_1_4_Bright Field_002,101,101,142.8355697996826,66.48308055437865,False,"[615.5, 2457.5]","[661.5, 2409.5]","[615.5, 2457.5]","[661.5, 2409.5]"
