jpg_filename,grid_row,grid_col,eval_h,eval_w,polymer_idx,manual_len_px,model_cc_id,model_skel_len_px,model_major_axis_px,centroid_distance_px
G21_03_1_15_Bright Field_001__y1675_x1475_h73_w73.jpg,2,0,73,73,60,32.36882999193557,4,19,27.998806200902905,4.284394856156525
G21_03_1_15_Bright Field_001__y1675_x1475_h73_w73.jpg,2,0,73,73,61,29.832867780352597,3,18,32.10875924797987,1.6714618564949526
G21_03_1_15_Bright Field_001__y1675_x1475_h73_w73.jpg,2,0,73,73,62,33.015148038438355,2,23,26.621280292355905,2.071072934541185
G21_03_1_15_Bright Field_001__y1675_x1475_h73_w73.jpg,2,0,73,73,63,11.964997159414311,1,15,17.91440941925446,1.2133549329638145
H20_03_1_10_Bright Field_002__y1508_x1743_h105_w105.jpg,3,0,105,105,64,54.56189146281496,1,53,56.23953888271301,6.034072150950181
H20_03_1_10_Bright Field_002__y1508_x1743_h105_w105.jpg,3,0,105,105,65,39.158294737168845,3,45,48.790996897856495,1.1086606262118903
H20_03_1_1_Bright Field_002__y1267_x771_h94_w94.jpg,4,0,94,94,66,46.32493928760188,1,46,51.60146440653629,2.4052478497663765
H20_03_1_2_Bright Field_002__y812_x327_h101_w101.jpg,4,1,101,101,67,38.897300677553446,2,60,44.03937015610541,1.3217315704360286
H20_03_1_2_Bright Field_002__y812_x327_h101_w101.jpg,4,1,101,101,68,29.732137494637012,1,27,33.61872350325018,5.5475789865442335
H20_03_1_2_Bright Field_002__y812_x327_h101_w101.jpg,4,1,101,101,69,6.967738708939173,4,5,6.072874195452547,3.6260800860052202
H20_03_1_3_Bright Field_001__y1685_x1298_h69_w69.jpg,4,2,69,69,70,33.60059523282288,1,16,25.66977017286729,1.9276602292862581
H20_03_1_3_Bright Field_001__y1685_x1298_h69_w69.jpg,4,2,69,69,71,18.788294228055936,2,20,23.097009522282857,1.1214012516816032
I20_03_1_11_Bright Field_001__y1857_x869_h64_w64.jpg,5,1,64,64,72,14.724047604333226,1,12,13.101138653745512,1.8751820227230571
I20_03_1_11_Bright Field_002__y1569_x945_h66_w66.jpg,5,2,66,66,73,28.460498941515414,2,23,27.012521432843453,1.7274759799028188
I20_03_1_11_Bright Field_002__y1569_x945_h66_w66.jpg,5,2,66,66,74,18.35755975068582,1,12,24.532061421891562,3.8283701738755527
I20_03_1_12_Bright Field_002__y1784_x1149_h124_w124.jpg,5,3,124,124,75,62.00806399170998,1,77,84.30271008397158,0.457215918107624
I20_03_1_12_Bright Field_002__y1784_x1149_h124_w124.jpg,5,3,124,124,76,60.530983801686226,2,71,81.23367609962249,3.074204595602826
H20_03_1_3_Bright Field_002__y641_x302_h85_w85.jpg,4,3,85,85,77,28.160255680657446,1,26,33.69705120298143,4.65547096586245
H20_03_1_3_Bright Field_002__y641_x302_h85_w85.jpg,4,3,85,85,78,24.041630560342615,2,20,26.931685518804763,4.027355781973404
I20_03_1_13_Bright Field_001__y932_x169_h83_w83.jpg,5,4,83,83,81,41.182520563948,1,36,46.56254951372119,3.264826362531066
I20_03_1_1_Bright Field_001__y1825_x673_h98_w98.jpg,5,5,98,98,82,64.4437739428721,1,47,73.59643045295252,1.967076955656047
I20_03_1_1_Bright Field_001__y1825_x673_h98_w98.jpg,5,5,98,98,83,36.6742416417845,2,50,56.88827660045784,4.530895402787147
H20_03_1_5_Bright Field_002__y924_x492_h80_w80.jpg,4,5,80,80,84,45.03517692308788,2,39,46.849388267096735,1.4891556517354039
H20_03_1_5_Bright Field_002__y924_x492_h80_w80.jpg,4,5,80,80,85,29.120439557122072,1,23,28.746601717118075,2.4106326330152483
H20_03_1_4_Bright Field_001__y1396_x206_h64_w64.jpg,4,4,64,64,86,22.20360331117452,1,119,70.02316103933953,2.8032859826837195
H20_03_1_4_Bright Field_001__y1396_x206_h64_w64.jpg,4,4,64,64,88,7.267220926874317,2,8,7.960879181419594,1.1752146761963946
H20_03_1_6_Bright Field_001__y688_x496_h96_w96.jpg,4,6,96,96,91,50.99019513592785,2,3,3.9722133299273006,56.28124132426363
H20_03_1_6_Bright Field_001__y688_x496_h96_w96.jpg,4,6,96,96,92,47.853944456021594,1,66,55.26610968498844,6.364406993685033
H20_03_1_6_Bright Field_002__y618_x292_h101_w101.jpg,4,7,101,101,93,63.8200595424354,1,51,70.58888732637682,1.0520801787043008
H20_03_1_6_Bright Field_002__y618_x292_h101_w101.jpg,4,7,101,101,94,62.24146527838174,4,5,8.037275831425013,13.108961642565758
H20_03_1_8_Bright Field_001__y148_x1423_h64_w64.jpg,4,8,64,64,95,29.657593135291766,1,28,36.11528927073151,1.678926165158606
H20_03_1_8_Bright Field_002__y265_x1565_h110_w110.jpg,4,9,110,110,96,60.166435825965294,1,58,71.91608446791963,2.2617399984179176
H20_03_1_8_Bright Field_002__y265_x1565_h110_w110.jpg,4,9,110,110,97,53.16013544000805,3,53,61.665512893757196,6.684887071050636
H20_03_1_8_Bright Field_002__y265_x1565_h110_w110.jpg,4,9,110,110,98,20.85311727296428,2,16,24.511695268663978,3.3450004152133634
H20_03_1_8_Bright Field_002__y265_x1565_h110_w110.jpg,4,9,110,110,99,34.99592656343088,6,34,35.94626244295134,1.404462218433172
I20_03_1_2_Bright Field_001__y1813_x1122_h118_w118.jpg,5,7,118,118,100,90.95603333479313,1,52,59.83304703120312,19.17076649600928
I20_03_1_2_Bright Field_001__y1813_x1122_h118_w118.jpg,5,7,118,118,101,90.07774419910837,2,80,74.40701999127853,3.8150139324780756
I20_03_1_3_Bright Field_001__y871_x1531_h64_w64.jpg,5,8,64,64,104,31.88220277075637,2,28,33.11555565947648,1.7086524671609769
I20_03_1_3_Bright Field_002__y1777_x425_h67_w67.jpg,5,9,67,67,105,20.615528128088304,1,13,16.670577108640376,3.3392566187139616
J20_03_1_15_Bright Field_001__y568_x1300_h76_w76.jpg,6,9,76,76,106,36.069377593742864,1,26,40.57625158910149,3.5049956806809406
J20_03_1_11_Bright Field_001__y936_x1080_h97_w97.jpg,6,8,97,97,107,77.78174593052023,1,47,70.49495787086235,5.567243878715865
I20_03_1_1_Bright Field_002__y1424_x884_h100_w100.jpg,5,6,100,100,108,54.62600113499065,1,49,61.247125683523926,2.2149420497225623
I20_03_1_1_Bright Field_002__y1424_x884_h100_w100.jpg,5,6,100,100,109,12.529964086141668,2,10,14.189240452985738,1.5042532292728443
I20_03_1_8_Bright Field_001__y1360_x1835_h95_w95.jpg,6,6,95,95,110,52.60509891585674,2,43,54.695343575000805,4.594451572007694
I20_03_1_8_Bright Field_001__y1360_x1835_h95_w95.jpg,6,6,95,95,111,42.44997055358225,1,39,42.65178268567854,1.8704054313483214
I20_03_1_9_Bright Field_001__y1847_x1495_h74_w74.jpg,6,7,74,74,112,27.294688127912362,2,24,32.656821824452244,1.6880713469094406
I20_03_1_9_Bright Field_001__y1847_x1495_h74_w74.jpg,6,7,74,74,113,40.80441152620633,1,33,44.2691413206672,2.3842215494148666
I20_03_1_7_Bright Field_002__y1338_x1417_h128_w128.jpg,6,5,128,128,114,119.50732195141852,1,126,141.90707067697267,4.832846344989478
I20_03_1_7_Bright Field_001__y1563_x1288_h66_w66.jpg,6,4,66,66,115,35.696134089277336,2,25,29.90841477453244,4.161033622184458
I20_03_1_7_Bright Field_001__y1563_x1288_h66_w66.jpg,6,4,66,66,116,27.784887978899608,1,17,23.89164031907881,2.6187537687515046
I20_03_1_6_Bright Field_002__y676_x388_h80_w80.jpg,6,3,80,80,117,32.7566787083184,1,28,39.135613950753694,3.0451351496380314
I20_03_1_6_Bright Field_002__y676_x388_h80_w80.jpg,6,3,80,80,118,14.142135623730951,2,17,18.142506435277735,4.26517617828143
I20_03_1_5_Bright Field_001__y279_x660_h101_w101.jpg,6,2,101,101,119,67.89698078707183,1,53,81.1394668604329,2.3701400850399374
I20_03_1_5_Bright Field_001__y279_x660_h101_w101.jpg,6,2,101,101,120,38.8329756778952,2,43,51.63294417954644,4.548027345196778
I20_03_1_4_Bright Field_002__y1175_x1841_h66_w66.jpg,6,1,66,66,121,16.1245154965971,1,15,20.085046146776918,1.3036103712382792
I20_03_1_4_Bright Field_002__y1175_x1841_h66_w66.jpg,6,1,66,66,122,14.166666666666675,2,16,19.717495955462038,2.6868501239921714
I20_03_1_4_Bright Field_001__y1729_x1018_h121_w121.jpg,6,0,121,121,123,58.249463516842795,1,68,77.06122966856144,5.72535023117943
J20_03_1_5_Bright Field_002__y1128_x498_h128_w128.jpg,7,7,128,128,124,110.39021695784459,1,83,130.7910902581194,9.732529520270305
J20_03_1_7_Bright Field_001__y1673_x625_h85_w85.jpg,7,9,85,85,125,41.340053217188775,1,33,46.69307247762551,2.140975064283911
J20_03_1_7_Bright Field_001__y1673_x625_h85_w85.jpg,7,9,85,85,126,32.97463337599051,3,30,35.05396247239769,0.8250192185002586
J20_03_1_7_Bright Field_001__y1673_x625_h85_w85.jpg,7,9,85,85,127,35.79697768123888,2,49,40.10302287007737,7.363571092269177
K20_03_1_14_Bright Field_001__y713_x782_h128_w128.jpg,8,7,128,128,128,103.61949623502326,1,98,112.32082766533269,7.29697147371949
K20_03_1_14_Bright Field_001__y713_x782_h128_w128.jpg,8,7,128,128,129,11.6875,2,16,15.836813084530709,0.5413579215590107
